Date,Store ID,Product ID,Price,Discount,Promotion,Competitor Pricing,Epidemic,day_of_week,month,day_of_month,week,quarter,year,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,Category_Clothing,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_East,Region_North,Region_South,Region_West,Weather Condition_Cloudy,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Seasonality_Autumn,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter,Demand
2022-01-15,0.0,0.0,81.93,10,1,95.61,0,5,1,15,2,1,2022,1,52.0,113.0,115.0,88.0,19.991664929831828,96.92857142857143,25.196044517754355,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,175
2022-01-16,0.0,0.0,71.17,10,0,81.1,0,6,1,16,2,1,2022,1,175.0,87.0,84.0,96.85714285714286,38.28153850717328,101.21428571428571,32.53915646258678,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,126
2022-01-17,0.0,0.0,61.85,20,1,61.83,0,0,1,17,3,1,2022,0,126.0,99.0,132.0,102.42857142857143,39.428657694867674,104.21428571428571,32.76531602267761,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,102
2022-01-18,0.0,0.0,69.63,10,0,61.25,0,1,1,18,3,1,2022,0,102.0,103.0,67.0,102.85714285714286,39.40147447083917,102.07142857142857,31.7743590039184,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,102
2022-01-19,0.0,0.0,70.59,10,0,83.08,0,2,1,19,3,1,2022,0,102.0,85.0,110.0,102.71428571428571,39.40268301234611,104.57142857142857,30.137414226567884,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,123
2022-01-20,0.0,0.0,49.47,10,0,58.54,0,3,1,20,3,1,2022,0,123.0,77.0,146.0,108.14285714285714,39.17239066582726,105.5,30.515443757093028,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25
2022-01-21,0.0,0.0,66.74,10,0,63.13,0,4,1,21,3,1,2022,0,25.0,52.0,87.0,100.71428571428571,49.60414729205038,96.85714285714286,34.972202462169086,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,90
2022-01-22,0.0,0.0,77.18,0,0,74.8,0,5,1,22,3,1,2022,1,90.0,175.0,113.0,106.14285714285714,45.27482218418449,97.07142857142857,34.91630495410922,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,102
2022-01-23,0.0,0.0,70.74,15,1,65.08,0,6,1,23,3,1,2022,1,102.0,126.0,87.0,95.71428571428571,33.6982407340714,96.28571428571429,34.65306862076092,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,126
2022-01-24,0.0,0.0,46.98,25,1,45.06,0,0,1,24,4,1,2022,0,126.0,102.0,99.0,95.71428571428571,33.6982407340714,99.07142857142857,35.408526321547704,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,44
2022-01-25,0.0,0.0,60.18,10,0,56.0,0,1,1,25,4,1,2022,0,44.0,102.0,103.0,87.42857142857143,38.660303253066296,95.14285714285714,38.346310910432585,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,61
2022-01-26,0.0,0.0,68.86,25,1,61.97,0,2,1,26,4,1,2022,0,61.0,123.0,85.0,81.57142857142857,39.186975484452084,92.14285714285714,39.31501404896519,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,160
2022-01-27,0.0,0.0,62.8,10,0,70.46,0,3,1,27,4,1,2022,0,160.0,25.0,77.0,86.85714285714286,47.351270913702606,97.5,43.186091065740854,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,87
2022-01-28,0.0,0.0,80.4,20,1,73.36,0,4,1,28,4,1,2022,0,87.0,90.0,52.0,95.71428571428571,38.896076433295455,98.21428571428571,42.90271386687394,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,194
2022-01-29,0.0,0.0,65.0,5,0,77.11,0,5,1,29,4,1,2022,1,194.0,102.0,175.0,110.57142857142857,53.47852261377815,108.35714285714286,47.65841138586321,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,81
2022-01-30,0.0,0.0,71.59,0,0,69.69,0,6,1,30,4,1,2022,1,81.0,126.0,126.0,107.57142857142857,54.616411278592636,101.64285714285714,44.03077095860112,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,79
